ind_id	first_mating_time	sex
male_406	28.600000000000136	male
male_408	64.8000000000006	male
male_409	41.800000000000324	male
male_411	13.09999999999997	male
male_412	23.20000000000006	male
male_414	78.7999999999998	male
male_415	9.799999999999981	male
male_417	27.600000000000122	male
male_418	40.3000000000003	male
male_419	13.699999999999967	male
male_420	15.399999999999961	male
male_421	10.699999999999978	male
male_423	11.699999999999974	male
male_426	14.999999999999963	male
male_427	11.799999999999974	male
male_429	5.1999999999999975	male
male_430	2.600000000000001	male
male_440	29.200000000000145	male
male_441	21.70000000000004	male
male_444	5.299999999999997	male
male_445	15.299999999999962	male
male_446	7.899999999999988	male
male_448	29.60000000000015	male
male_449	38.400000000000276	male
male_452	8.799999999999985	male
male_457	23.500000000000064	male
male_458	4.100000000000001	male
male_461	13.199999999999969	male
male_464	1.6000000000000003	male
male_467	45.60000000000038	male
male_471	1.8000000000000005	male
male_472	18.19999999999999	male
male_473	30.500000000000163	male
male_477	33.400000000000205	male
male_478	17.69999999999998	male
male_486	14.699999999999964	male
male_487	21.80000000000004	male
male_490	39.9000000000003	male
male_491	82.1999999999996	male
male_493	46.60000000000039	male
male_494	10.699999999999978	male
male_497	4.5	male
male_498	25.800000000000097	male
male_500	64.30000000000062	male
male_501	28.300000000000132	male
male_502	4.799999999999999	male
male_504	41.900000000000325	male
male_505	50.20000000000044	male
male_506	4.899999999999999	male
male_508	13.699999999999967	male
male_511	33.400000000000205	male
male_513	28.300000000000132	male
male_514	76.49999999999993	male
male_515	17.399999999999977	male
male_517	31.200000000000173	male
male_521	32.000000000000185	male
male_522	9.299999999999983	male
male_524	34.00000000000021	male
male_526	41.50000000000032	male
male_527	7.19999999999999	male
male_528	59.00000000000057	male
male_531	24.70000000000008	male
male_532	35.500000000000234	male
male_535	0.4	male
male_536	42.10000000000033	male
male_537	39.000000000000284	male
male_538	14.699999999999964	male
male_540	17.799999999999983	male
male_546	8.399999999999986	male
male_550	26.900000000000112	male
male_551	35.30000000000023	male
male_554	3.600000000000002	male
male_557	31.900000000000183	male
male_559	1.4000000000000001	male
male_563	24.70000000000008	male
male_564	5.099999999999998	male
male_566	35.600000000000236	male
male_567	34.800000000000225	male
male_568	31.300000000000175	male
male_571	26.70000000000011	male
male_572	118.29999999999755	male
male_573	11.799999999999974	male
male_574	115.7999999999977	male
male_576	117.29999999999761	male
male_581	3.3000000000000016	male
male_582	4.4	male
male_584	9.399999999999983	male
male_585	7.099999999999991	male
male_587	21.90000000000004	male
male_593	6.499999999999993	male
male_594	34.00000000000021	male
male_596	30.700000000000166	male
male_597	10.29999999999998	male
male_601	4.699999999999999	male
male_602	6.199999999999994	male
male_603	26.200000000000102	male
male_604	3.2000000000000015	male
male_606	2.3000000000000007	male
male_607	7.999999999999988	male
male_608	2.0000000000000004	male
male_613	24.70000000000008	male
male_614	7.599999999999989	male
male_617	55.00000000000051	male
male_619	7.699999999999989	male
male_620	39.800000000000296	male
male_622	4.799999999999999	male
male_624	18.599999999999994	male
male_625	7.19999999999999	male
male_626	28.80000000000014	male
male_628	14.699999999999964	male
male_629	15.69999999999996	male
male_631	0.4	male
male_634	49.700000000000436	male
male_636	10.699999999999978	male
male_638	25.40000000000009	male
male_641	21.600000000000037	male
male_642	93.29999999999897	male
male_644	2.400000000000001	male
male_647	66.60000000000049	male
male_648	46.100000000000385	male
male_650	84.39999999999948	male
male_654	55.40000000000052	male
male_656	19.70000000000001	male
male_657	72.00000000000018	male
male_658	5.799999999999995	male
male_663	20.000000000000014	male
male_664	6.5999999999999925	male
male_666	15.199999999999962	male
male_667	12.499999999999972	male
male_668	65.80000000000054	male
male_669	12.79999999999997	male
male_670	8.599999999999985	male
male_672	37.90000000000027	male
male_676	4.100000000000001	male
male_677	9.799999999999981	male
male_678	27.700000000000124	male
male_680	29.50000000000015	male
male_683	33.3000000000002	male
male_684	6.399999999999993	male
male_685	19.500000000000007	male
male_686	29.800000000000153	male
male_687	20.600000000000023	male
male_692	63.000000000000625	male
male_693	16.89999999999997	male
male_696	49.700000000000436	male
male_697	15.099999999999962	male
male_698	10.19999999999998	male
male_699	2.600000000000001	male
male_702	2.700000000000001	male
male_706	43.60000000000035	male
male_708	8.599999999999985	male
male_713	9.299999999999983	male
male_714	39.60000000000029	male
male_716	8.099999999999987	male
male_717	44.30000000000036	male
male_719	24.00000000000007	male
male_721	38.60000000000028	male
male_724	7.19999999999999	male
male_725	32.30000000000019	male
male_727	15.89999999999996	male
male_729	44.50000000000036	male
male_732	11.099999999999977	male
male_735	39.50000000000029	male
male_737	69.80000000000031	male
male_738	7.099999999999991	male
male_741	49.600000000000435	male
male_742	5.399999999999997	male
male_747	12.099999999999973	male
male_748	1.9000000000000006	male
male_750	0.30000000000000004	male
male_751	23.90000000000007	male
male_752	46.40000000000039	male
male_754	6.999999999999991	male
male_755	14.399999999999965	male
male_757	28.600000000000136	male
male_759	17.59999999999998	male
